Date,POC,PM2.5,AQI_VALUE,COUNTY,LATITUDE,LONGITUDE
7/16/2020,4,25.4,79,Dallas,32.820061,-96.860117
7/17/2020,4,17.8,63,Dallas,32.820061,-96.860117
7/18/2020,4,8.2,34,Dallas,32.820061,-96.860117
7/19/2020,4,6.1,25,Dallas,32.820061,-96.860117
7/20/2020,4,4,17,Dallas,32.820061,-96.860117
7/21/2020,4,0.5,2,Dallas,32.820061,-96.860117
7/22/2020,4,1.9,8,Dallas,32.820061,-96.860117
7/23/2020,4,2.7,11,Dallas,32.820061,-96.860117
7/24/2020,4,0.9,4,Dallas,32.820061,-96.860117
7/25/2020,4,1,4,Dallas,32.820061,-96.860117
7/26/2020,4,4,17,Dallas,32.820061,-96.860117
1/1/2020,1,10.5,44,Denton,33.219069,-97.196284
1/2/2020,1,6.3,26,Denton,33.219069,-97.196284
1/3/2020,1,4.5,19,Denton,33.219069,-97.196284
1/4/2020,1,5.4,23,Denton,33.219069,-97.196284
1/5/2020,1,4.9,20,Denton,33.219069,-97.196284
1/6/2020,1,2.6,11,Denton,33.219069,-97.196284
1/7/2020,1,3,13,Denton,33.219069,-97.196284
1/8/2020,1,6.6,28,Denton,33.219069,-97.196284
1/9/2020,1,4.8,20,Denton,33.219069,-97.196284
1/10/2020,1,5,21,Denton,33.219069,-97.196284
1/11/2020,1,6.4,27,Denton,33.219069,-97.196284
1/12/2020,1,8.5,35,Denton,33.219069,-97.196284
1/13/2020,1,9.7,40,Denton,33.219069,-97.196284
1/14/2020,1,8.3,35,Denton,33.219069,-97.196284
1/15/2020,1,8.4,35,Denton,33.219069,-97.196284
1/16/2020,1,8.8,37,Denton,33.219069,-97.196284
1/17/2020,1,3.6,15,Denton,33.219069,-97.196284
1/18/2020,1,2.6,11,Denton,33.219069,-97.196284
1/19/2020,1,2,8,Denton,33.219069,-97.196284
1/20/2020,1,3.5,15,Denton,33.219069,-97.196284
1/21/2020,1,8.9,37,Denton,33.219069,-97.196284
1/22/2020,1,7.5,31,Denton,33.219069,-97.196284
1/23/2020,1,1.5,6,Denton,33.219069,-97.196284
1/24/2020,1,2,8,Denton,33.219069,-97.196284
1/25/2020,1,5.7,24,Denton,33.219069,-97.196284
1/26/2020,1,5.6,23,Denton,33.219069,-97.196284
